rank,index,beta_mean,beta_median,beta_sd,ci_2p5,ci_97p5,beta_mean_raw,beta_median_raw,ci_2p5_raw,ci_97p5_raw,abs_beta_mean,abs_beta_median,post_prob_abs_gt_thresh,selected_mean_thresh,selected_median_thresh,selected_ci_excludes_zero,sign_beta_mean,sign_beta_median
66,62931,0.00400954637708324,5.25883505919364e-06,0.0304251406576849,-0.005219265801173,0.0403138843771236,0.5545619,0.0007273515,-0.7218786,5.575829,0.00400954637708324,5.25883505919364e-06,0.055,0,0,0,1,1
67,69546,-0.00397111887346181,-6.70654482083122e-05,0.0126608472949203,-0.0462114421149701,0.00250062736676784,-5.609305,-0.09473162,-65.27482,3.532199,0.00397111887346181,6.70654482083122e-05,0.1125,0,0,0,-1,-1
68,103293,0.00386698827094385,0.000108113036274926,0.0138223340613908,-0.00335646979629153,0.0465496066148087,11.64124,0.3254651,-10.10437,140.1336,0.00386698827094385,0.000108113036274926,0.1,0,0,0,1,1
69,87166,0.00386554505164363,7.46234830628772e-05,0.0125331794975955,-0.00243016169272943,0.0511527937600639,2.666587,0.05147786,-1.67641,35.28697,0.00386554505164363,7.46234830628772e-05,0.10375,0,0,0,1,1
70,64748,-0.00385023188571592,-8.75700970369704e-05,0.0125060935007487,-0.0480296408484446,0.00304912650506306,-24.64103,-0.5604382,-307.384,19.51405,0.00385023188571592,8.75700970369704e-05,0.11375,0,0,0,-1,-1
71,105985,0.00384118269555011,8.19892280808e-05,0.0127127334081952,-0.0034605688072484,0.0480463051950223,43.73094,0.9334276,-39.39774,546.9956,0.00384118269555011,8.19892280808e-05,0.11125,0,0,0,1,1
72,103192,-0.00377390791198527,-5.6829754162606e-05,0.0109412069178099,-0.0381719692551744,0.00263760904246278,-39.60299,-0.5963654,-400.5726,27.67879,0.00377390791198527,5.6829754162606e-05,0.12375,0,0,0,-1,-1
73,35200,-0.00363880483986551,-5.88199970524768e-05,0.0123023334982954,-0.0469626220669952,0.00279716560531735,-1.411593,-0.02281791,-18.2181,1.085098,0.00363880483986551,5.88199970524768e-05,0.1,0,0,0,-1,-1
74,28610,0.0036161082449614,4.9230191100038e-05,0.0154443774314126,-0.00340222196655247,0.0591053563466547,17.62817,0.2399923,-16.58549,288.1327,0.0036161082449614,4.9230191100038e-05,0.07375,0,0,0,1,1
75,147582,0.00355902858959839,0.000160080183395237,0.00931857532888486,-0.00185508634070816,0.0364055050127469,0.4141972,0.01863002,-0.2158936,4.236847,0.00355902858959839,0.000160080183395237,0.11875,0,0,0,1,1
76,85046,-0.00353825629135079,-3.75136110193479e-05,0.0116942944688167,-0.0483236145075472,0.00379395261973266,-4.037703,-0.04280888,-55.14478,4.329492,0.00353825629135079,3.75136110193479e-05,0.11,0,0,0,-1,-1
77,49170,-0.00348873427749502,-3.85902244002013e-05,0.012214013031957,-0.0491177595299624,0.00294849381370337,-2.159552,-0.02388763,-30.40426,1.825139,0.00348873427749502,3.85902244002013e-05,0.09,0,0,0,-1,-1
78,30926,-0.00348542040582725,-7.96511351924347e-05,0.0125864633902329,-0.0416388578354432,0.00341091021486786,-1.630207,-0.03725458,-19.4754,1.595357,0.00348542040582725,7.96511351924347e-05,0.09875,0,0,0,-1,-1
79,83806,0.00347829497982423,8.53846345261641e-06,0.0284624167352923,-0.00855658516424608,0.0312199806139332,0.4032878,0.0009899846,-0.9920857,3.619773,0.00347829497982423,8.53846345261641e-06,0.06375,0,0,0,1,1
80,14350,0.00347373150671139,5.08711549603497e-05,0.0125362267612147,-0.00453898668249837,0.0502446471469748,46.21657,0.6768198,-60.38935,668.4844,0.00347373150671139,5.08711549603497e-05,0.1075,0,0,0,1,1
81,95461,0.00344873974133454,6.36238750881539e-05,0.0139413332755965,-0.00384564178285825,0.0482479334744642,1.344171,0.02479786,-1.498866,18.80498,0.00344873974133454,6.36238750881539e-05,0.08125,0,0,0,1,1
82,70469,0.00342330229959169,1.6031130804062e-05,0.034275674263238,-0.00688207932332653,0.0260291737679024,0.3473393,0.00162657,-0.698278,2.641004,0.00342330229959169,1.6031130804062e-05,0.055,0,0,0,1,1
83,112096,0.00341814275581016,7.34138002856801e-05,0.00935721279749051,-0.00231599127803489,0.0355739711967235,4.249256,0.09126418,-2.879119,44.22369,0.00341814275581016,7.34138002856801e-05,0.11625,0,0,0,1,1
84,123267,0.00340402674273413,7.63695023422885e-05,0.0112425212634629,-0.003838847035964,0.0460201909352531,35.78199,0.8027706,-40.35267,483.7488,0.00340402674273413,7.63695023422885e-05,0.1025,0,0,0,1,1
85,2417,-0.00339224563724147,-4.30668802449589e-06,0.0274301962007653,-0.0230380879598798,0.00635808574608413,-0.2922698,-0.0003710565,-1.98492,0.5478013,0.00339224563724147,4.30668802449589e-06,0.0425,0,0,0,-1,-1
86,105074,0.00332517561364925,0.00020516796836793,0.00873203639368676,-0.00217247783777309,0.0331478630441483,0.3054249,0.01884514,-0.199547,3.044706,0.00332517561364925,0.00020516796836793,0.11375,0,0,0,1,1
87,61083,-0.00321770704254797,-7.42825216495516e-05,0.0114822489964692,-0.0458485769984708,0.00265582197891397,-2.371054,-0.05473708,-33.78476,1.957014,0.00321770704254797,7.42825216495516e-05,0.08375,0,0,0,-1,-1
88,156809,0.00319992529616791,0.00010225407520702,0.00947147245218866,-0.00332678226600365,0.0344447807755214,2.400799,0.07671788,-2.495976,25.84279,0.00319992529616791,0.00010225407520702,0.11,0,0,0,1,1
89,27843,0.00308788870906723,8.70764257473781e-05,0.00917388724253395,-0.00238138713058931,0.0339225368078321,6.314794,0.178073,-4.869984,69.37226,0.00308788870906723,8.70764257473781e-05,0.1025,0,0,0,1,1
90,154928,0.00307792210875639,9.14707487517824e-05,0.0106538877926683,-0.00222453322422032,0.0381412696832452,1.043378,0.03100746,-0.7540895,12.92942,0.00307792210875639,9.14707487517824e-05,0.08,0,0,0,1,1
91,73455,-0.0030692802209984,-9.57322137834808e-05,0.00951123571204164,-0.0384025638486975,0.00209953942329226,-37.18724,-1.159887,-465.2835,25.43792,0.0030692802209984,9.57322137834808e-05,0.095,0,0,0,-1,-1
92,111946,0.00304566670201634,-1.91570120710704e-08,0.0376892161029764,-0.0108085840029943,0.0126153967248123,0.2922151,-1.838011e-06,-1.037025,1.210379,0.00304566670201634,1.91570120710704e-08,0.05375,0,0,0,1,-1
93,42817,-0.00303662632403799,-6.09776962682556e-05,0.00912626221510715,-0.035331991442755,0.00327397654052666,-18.71402,-0.3757913,-217.7428,20.17675,0.00303662632403799,6.09776962682556e-05,0.10875,0,0,0,-1,-1
94,133612,0.003035440629994,1.42223903721905e-05,0.0317911067124047,-0.00596644730633199,0.0160168778827322,0.3049163,0.001428669,-0.5993419,1.608928,0.003035440629994,1.42223903721905e-05,0.0425,0,0,0,1,1
95,137987,0.00303254092373795,6.1009007277316e-05,0.00996254925449315,-0.0023609632502622,0.0382664409870428,3.821452,0.07688042,-2.975165,48.22141,0.00303254092373795,6.1009007277316e-05,0.08625,0,0,0,1,1
96,96823,-0.00302298031271734,-9.38365659675537e-05,0.00922943459911702,-0.03463442686374,0.00264178052942011,-3.800207,-0.1179625,-43.53914,3.320998,0.00302298031271734,9.38365659675537e-05,0.10375,0,0,0,-1,-1
97,147082,-0.00292053331070637,-0.000141008329787911,0.00849996638117425,-0.0322796228808059,0.00183363477338596,-1.043636,-0.05038852,-11.53494,0.6552389,0.00292053331070637,0.000141008329787911,0.10625,0,0,0,-1,-1
98,121112,0.00284511473887724,9.74735372964617e-05,0.00878045773565836,-0.00288885452933551,0.0323448503060605,2.786716,0.09547279,-2.829558,31.68094,0.00284511473887724,9.74735372964617e-05,0.0975,0,0,0,1,1
99,120309,-0.00281027031208937,-9.90912494294279e-05,0.00849407181526873,-0.0322986547054265,0.00246374283661985,-4.737324,-0.1670399,-54.44643,4.153176,0.00281027031208937,9.90912494294279e-05,0.095,0,0,0,-1,-1
100,8115,-0.00279916298997193,-2.18873447000837e-05,0.0177758837327391,-0.0315202768826634,0.00358591580223914,-0.3770841,-0.002948514,-4.246197,0.4830701,0.00279916298997193,2.18873447000837e-05,0.04625,0,0,0,-1,-1
101,61233,0.00278928407101084,7.44659586925955e-05,0.0104896622805223,-0.00211864883020179,0.0334628143113785,24.70497,0.6595525,-18.76509,296.3835,0.00278928407101084,7.44659586925955e-05,0.07875,0,0,0,1,1
102,87253,-0.00278819940998329,-8.3851349383232e-05,0.0085217839579701,-0.0330553559996598,0.00224410228363652,-0.9699358,-0.02916951,-11.49902,0.7806597,0.00278819940998329,8.3851349383232e-05,0.095,0,0,0,-1,-1
103,100527,-0.00278023955494866,-9.65380370254214e-05,0.00851346889338324,-0.0353507769369989,0.00247960800282355,-25.13588,-0.8727912,-319.603,22.4179,0.00278023955494866,9.65380370254214e-05,0.1,0,0,0,-1,-1
104,15670,-0.00277236611050606,-9.30766380081116e-05,0.00918782838000228,-0.0358798692041174,0.00231241682918171,-2.250293,-0.0755491,-29.12322,1.876959,0.00277236611050606,9.30766380081116e-05,0.09375,0,0,0,-1,-1
105,60255,-0.00273790575219624,-8.4403313067789e-05,0.00930988068273239,-0.0369039177510685,0.00214791099351558,-2.510098,-0.07738052,-33.83332,1.969193,0.00273790575219624,8.4403313067789e-05,0.08375,0,0,0,-1,-1
106,156846,-0.00273490351226467,-3.60526998520898e-05,0.0108031763307022,-0.040288059353205,0.00254079956533362,-1.601047,-0.0211057,-23.58514,1.487416,0.00273490351226467,3.60526998520898e-05,0.07875,0,0,0,-1,-1
107,150126,0.00273299342460863,0.000115516559443164,0.00812249974315507,-0.00191211625114486,0.0296260699713255,1.857652,0.07851813,-1.299691,20.13723,0.00273299342460863,0.000115516559443164,0.09625,0,0,0,1,1
108,17384,0.00270672049921433,9.34621839863495e-06,0.0210248183362114,-0.00526786680120641,0.0282941810117905,0.341472,0.001179092,-0.6645788,3.569512,0.00270672049921433,9.34621839863495e-06,0.05,0,0,0,1,1
109,4198,-0.00265851852381741,-7.66325069158046e-05,0.00806473535415148,-0.0307302089365328,0.00283787651672144,-2.660292,-0.07668362,-30.7507,2.839769,0.00265851852381741,7.66325069158046e-05,0.0975,0,0,0,-1,-1
110,99516,0.00265293616851144,7.81645302854506e-05,0.00786902855452989,-0.00224920605581437,0.0297848507706384,2.074556,0.06112348,-1.758845,23.2913,0.00265293616851144,7.81645302854506e-05,0.08875,0,0,0,1,1
111,85008,-0.00264875666657826,-0.000126346445727552,0.00771860103711232,-0.0292114159972439,0.00250470065565328,-1.756578,-0.08378925,-19.37215,1.661044,0.00264875666657826,0.000126346445727552,0.0975,0,0,0,-1,-1
112,100675,-0.00262283532776378,-7.85748226265905e-05,0.00714779419490184,-0.0280115901194217,0.00229474276675332,-1.024927,-0.03070473,-10.94611,0.896718,0.00262283532776378,7.85748226265905e-05,0.10125,0,0,0,-1,-1
113,152861,-0.00261644579843485,-0.000114565352037448,0.00720796777145253,-0.0252754519320862,0.00231548806154528,-4.91696,-0.2152971,-47.49894,4.351385,0.00261644579843485,0.000114565352037448,0.10125,0,0,0,-1,-1
114,51930,-0.00259320180774609,-1.27513413428226e-05,0.0345157011342602,-0.0159014797925589,0.00896570302690937,-0.2438186,-0.001198909,-1.495093,0.8429753,0.00259320180774609,1.27513413428226e-05,0.0575,0,0,0,-1,-1
115,145007,-0.00257614460764709,-0.000114285656074382,0.00860515775876779,-0.0339151062387995,0.00273655703131995,-1.962994,-0.0870844,-25.84293,2.085226,0.00257614460764709,0.000114285656074382,0.08,0,0,0,-1,-1
116,46777,-0.00257290417245215,-0.000106524523405133,0.00775465200765277,-0.0302367239327721,0.00222711934632162,-1.909274,-0.07904861,-22.43776,1.652678,0.00257290417245215,0.000106524523405133,0.08375,0,0,0,-1,-1
117,57717,0.00256549293913792,0.000114266617244968,0.00717520660119538,-0.00207752966509624,0.0269131722258539,3.504178,0.1560755,-2.837674,36.7604,0.00256549293913792,0.000114266617244968,0.0975,0,0,0,1,1
118,30257,-0.00256413440015714,-0.000163007361123193,0.00798931040483739,-0.0298036198597101,0.00249597358661395,-1.415123,-0.08996233,-16.44836,1.377506,0.00256413440015714,0.000163007361123193,0.08375,0,0,0,-1,-1
119,35419,-0.00254712987715217,-1.34359502099054e-05,0.0334047550345153,-0.00562335757794227,0.00485888461146064,-0.2684731,-0.001416179,-0.5927143,0.5121372,0.00254712987715217,1.34359502099054e-05,0.03375,0,0,0,-1,-1
120,50246,-0.00251349804014902,-7.94560541188522e-05,0.00988421263448578,-0.0327279723896188,0.00295794015488866,-3.234614,-0.1022518,-42.11754,3.806565,0.00251349804014902,7.94560541188522e-05,0.0725,0,0,0,-1,-1
121,46513,0.00250136024586571,7.26654521220716e-05,0.00842787834387732,-0.00241418074074533,0.0360948632794004,1.340621,0.03894553,-1.293896,19.34528,0.00250136024586571,7.26654521220716e-05,0.08375,0,0,0,1,1
122,106290,-0.00249109728818086,-7.62252597781714e-05,0.00841043821140543,-0.0322135180734846,0.00256397736064303,-1.382841,-0.04231366,-17.88215,1.423298,0.00249109728818086,7.62252597781714e-05,0.0825,0,0,0,-1,-1
